iter	Passed	Remaining
0	189	189628
1	212	106098
2	228	75823
3	233	58061
4	237	47299
5	262	43499
6	305	43294
7	320	39793
8	333	36673
9	346	34283
10	356	32041
11	362	29869
12	377	28624
13	392	27608
14	411	26989
15	427	26297
16	433	25067
17	445	24325
18	459	23748
19	475	23279
20	492	22969
21	499	22223
22	508	21592
23	529	21549
24	551	21491
25	570	21365
26	586	21135
27	603	20950
28	619	20729
29	633	20468
30	642	20096
31	650	19671
32	655	19203
33	661	18798
34	675	18630
35	689	18465
36	702	18275
37	711	18009
38	723	17830
39	732	17577
40	740	17310
41	747	17055
42	754	16794
43	758	16487
44	769	16322
45	782	16224
46	787	15963
47	791	15688
48	796	15452
49	805	15303
50	836	15567
51	856	15609
52	871	15574
53	891	15614
54	907	15587
55	919	15495
56	924	15301
57	940	15278
58	950	15152
59	956	14988
60	965	14867
61	970	14682
62	982	14613
63	990	14481
64	1006	14472
65	1019	14423
66	1031	14366
67	1048	14374
68	1064	14358
69	1082	14379
70	1109	14511
71	1156	14900
72	1242	15783
73	1280	16023
74	1319	16270
75	1370	16666
76	1380	16549
77	1389	16429
78	1417	16528
79	1433	16489
80	1452	16480
81	1474	16510
82	1497	16547
83	1516	16532
84	1526	16434
85	1536	16330
86	1549	16264
87	1564	16216
88	1581	16187
89	1608	16262
90	1631	16292
91	1650	16291
92	1686	16452
93	1738	16757
94	1757	16743
95	1797	16929
96	1814	16895
97	1830	16845
98	1845	16794
99	1859	16735
100	1867	16625
101	1880	16560
102	1902	16566
103	1915	16502
104	1925	16414
105	1931	16291
106	1936	16161
107	1941	16033
108	1946	15908
109	1961	15874
110	1984	15897
111	1995	15822
112	2024	15894
113	2045	15896
114	2061	15867
115	2077	15835
116	2084	15729
117	2095	15666
118	2109	15619
119	2124	15581
120	2147	15597
121	2170	15623
122	2198	15673
123	2256	15939
124	2396	16777
125	2411	16725
126	2491	17129
127	2526	17210
128	2581	17430
129	2638	17658
130	2673	17733
131	2683	17645
132	2687	17520
133	2692	17398
134	2697	17287
135	2702	17166
136	2788	17566
137	2826	17653
138	2869	17776
139	2947	18108
140	2987	18200
141	3013	18210
142	3024	18126
143	3031	18022
144	3132	18468
145	3172	18559
146	3204	18595
147	3237	18637
148	3270	18678
149	3305	18731
150	3316	18644
151	3320	18524
152	3353	18566
153	3412	18748
154	3455	18835
155	3488	18871
156	3521	18910
157	3549	18917
158	3564	18855
159	3569	18737
160	3573	18620
161	3609	18673
162	3647	18731
163	3697	18849
164	3734	18900
165	3816	19172
166	3847	19189
167	3914	19388
168	3946	19403
169	4040	19727
170	4075	19758
171	4106	19770
172	4165	19912
173	4216	20016
174	4240	19992
175	4253	19915
176	4281	19908
177	4332	20007
178	4366	20028
179	4423	20150
180	4456	20162
181	4500	20228
182	4537	20257
183	4553	20195
184	4558	20083
185	4565	19981
186	4605	20024
187	4658	20121
188	4689	20121
189	4726	20148
190	4772	20213
191	4789	20156
192	4809	20108
193	4816	20008
194	4820	19898
195	4850	19896
196	4889	19932
197	4921	19934
198	4966	19990
199	4995	19982
200	4999	19875
201	5004	19769
202	5010	19671
203	5027	19618
204	5037	19534
205	5041	19431
206	5049	19343
207	5062	19275
208	5082	19236
209	5114	19241
210	5131	19189
211	5155	19163
212	5161	19069
213	5165	18971
214	5169	18875
215	5175	18784
216	5185	18709
217	5201	18659
218	5217	18606
219	5232	18550
220	5250	18508
221	5260	18437
222	5266	18348
223	5271	18260
224	5292	18230
225	5311	18190
226	5333	18163
227	5347	18105
228	5361	18051
229	5369	17974
230	5373	17888
231	5377	17802
232	5400	17778
233	5416	17730
234	5435	17692
235	5453	17656
236	5475	17628
237	5483	17555
238	5488	17476
239	5501	17422
240	5520	17386
241	5536	17340
242	5553	17300
243	5590	17322
244	5612	17296
245	5618	17221
246	5625	17150
247	5638	17096
248	5655	17056
249	5672	17017
250	5690	16981
251	5709	16946
252	5738	16943
253	5743	16869
254	5749	16797
255	5753	16722
256	5794	16752
257	5815	16723
258	5833	16689
259	5850	16652
260	5886	16667
261	5899	16616
262	5904	16546
263	5914	16489
264	5937	16469
265	5955	16434
266	5971	16392
267	5988	16356
268	5997	16298
269	6001	16227
270	6010	16168
271	6024	16125
272	6039	16082
273	6057	16051
274	6075	16017
275	6105	16016
276	6121	15977
277	6138	15942
278	6153	15901
279	6169	15864
280	6181	15817
281	6188	15757
282	6193	15690
283	6197	15624
284	6213	15587
285	6235	15567
286	6252	15533
287	6270	15500
288	6292	15480
289	6307	15442
290	6327	15415
291	6339	15372
292	6361	15349
293	6374	15308
294	6392	15278
295	6402	15226
296	6409	15172
297	6422	15128
298	6454	15132
299	6467	15091
300	6490	15072
301	6516	15061
302	6566	15104
303	6571	15046
304	6589	15016
305	6605	14980
306	6618	14940
307	6635	14907
308	6653	14878
309	6660	14824
310	6667	14771
311	6680	14731
312	6692	14690
313	6704	14648
314	6716	14605
315	6723	14553
316	6735	14512
317	6747	14471
318	6760	14432
319	6772	14392
320	6786	14354
321	6797	14313
322	6810	14273
323	6821	14232
324	6831	14189
325	6845	14153
326	6864	14126
327	6876	14089
328	6891	14054
329	6904	14019
330	6918	13982
331	6932	13947
332	6938	13897
333	6946	13852
334	6959	13814
335	6971	13776
336	6983	13739
337	6990	13691
338	7002	13653
339	7014	13616
340	7029	13583
341	7041	13547
342	7052	13508
343	7059	13462
344	7072	13426
345	7084	13389
346	7096	13355
347	7107	13315
348	7119	13279
349	7131	13243
350	7144	13210
351	7165	13190
352	7180	13161
353	7196	13132
354	7237	13149
355	7255	13125
356	7267	13089
357	7278	13051
358	7285	13007
359	7293	12965
360	7303	12927
361	7317	12896
362	7331	12864
363	7344	12832
364	7368	12818
365	7374	12775
366	7387	12741
367	7399	12707
368	7411	12673
369	7423	12639
370	7431	12599
371	7445	12569
372	7458	12537
373	7473	12508
374	7482	12470
375	7496	12440
376	7509	12410
377	7522	12377
378	7534	12345
379	7546	12312
380	7558	12279
381	7570	12246
382	7582	12214
383	7590	12175
384	7602	12143
385	7614	12112
386	7626	12080
387	7638	12047
388	7649	12015
389	7662	11984
390	7674	11953
391	7686	11922
392	7697	11888
393	7705	11851
394	7717	11821
395	7731	11793
396	7742	11760
397	7750	11723
398	7761	11690
399	7773	11660
400	7784	11628
401	7797	11599
402	7808	11567
403	7814	11528
404	7842	11522
405	7860	11500
406	7876	11475
407	7889	11447
408	7919	11443
409	7934	11417
410	7942	11382
411	7966	11369
412	7980	11342
413	7993	11314
414	8028	11317
415	8034	11278
416	8047	11250
417	8060	11222
418	8074	11196
419	8085	11165
420	8091	11128
421	8123	11125
422	8138	11101
423	8152	11075
424	8163	11045
425	8201	11050
426	8213	11021
427	8225	10992
428	8237	10963
429	8244	10929
430	8250	10892
431	8256	10855
432	8268	10827
433	8286	10806
434	8304	10786
435	8323	10767
436	8336	10739
437	8348	10711
438	8364	10688
439	8376	10661
440	8392	10638
441	8401	10606
442	8407	10570
443	8412	10535
444	8419	10500
445	8437	10480
446	8450	10454
447	8464	10429
448	8476	10401
449	8483	10368
450	8494	10340
451	8508	10315
452	8522	10290
453	8535	10265
454	8544	10234
455	8552	10203
456	8568	10181
457	8585	10159
458	8601	10138
459	8614	10112
460	8618	10077
461	8626	10045
462	8655	10039
463	8672	10018
464	8692	10001
465	8707	9978
466	8749	9985
467	8789	9991
468	8804	9968
469	8821	9947
470	8837	9926
471	8854	9904
472	8859	9870
473	8894	9869
474	8933	9873
475	8951	9853
476	8988	9855
477	9003	9832
478	9017	9807
479	9021	9773
480	9032	9746
481	9066	9743
482	9096	9737
483	9118	9721
484	9144	9710
485	9187	9716
486	9216	9709
487	9234	9689
488	9259	9675
489	9290	9669
490	9313	9654
491	9323	9626
492	9358	9624
493	9383	9611
494	9402	9592
495	9418	9570
496	9435	9549
497	9450	9526
498	9492	9530
499	9522	9522
500	9547	9509
501	9567	9491
502	9586	9472
503	9599	9446
504	9605	9414
505	9622	9394
506	9639	9373
507	9651	9347
508	9670	9328
509	9718	9337
510	9845	9421
511	9930	9465
512	9965	9460
513	10001	9456
514	10040	9456
515	10142	9513
516	10195	9525
517	10263	9550
518	10305	9551
519	10331	9536
520	10354	9519
521	10388	9512
522	10406	9491
523	10427	9472
524	10445	9450
525	10463	9429
526	10487	9412
527	10501	9388
528	10506	9354
529	10511	9321
530	10518	9289
531	10528	9262
532	10551	9244
533	10625	9272
534	10696	9296
535	10718	9278
536	10740	9260
537	10768	9247
538	10784	9223
539	10789	9191
540	10796	9160
541	10846	9165
542	10872	9150
543	10885	9124
544	10900	9100
545	10911	9073
546	10925	9048
547	10944	9027
548	10969	9011
549	10986	8988
550	11000	8964
551	11018	8942
552	11034	8919
553	11049	8895
554	11062	8870
555	11077	8845
556	11093	8823
557	11146	8829
558	11151	8797
559	11158	8767
560	11163	8735
561	11167	8703
562	11171	8671
563	11175	8639
564	11185	8612
565	11199	8587
