iter	Passed	Remaining
0	316	293360
1	456	211164
2	573	176517
3	669	154380
4	766	141287
5	864	132692
6	966	127066
7	1073	123268
8	1180	120381
9	1268	116329
10	1381	115066
11	1486	113350
12	1600	112503
13	1669	108861
14	1772	107793
15	1869	106448
16	1981	106085
17	2073	104705
18	2175	103951
19	2288	103789
20	2372	102346
21	2480	102026
22	2598	102117
23	2711	102008
24	2804	101174
25	2925	101394
26	3058	101955
27	3174	101915
28	3274	101394
29	3394	101508
30	3508	101414
31	3595	100573
32	3724	100891
33	3853	101208
34	3954	100788
35	4052	100307
36	4129	99336
37	4241	99236
38	4365	99407
39	4478	99312
40	4595	99298
41	4701	99071
42	4794	98568
43	4918	98702
44	5034	98668
45	5150	98643
46	5265	98589
47	5323	97487
48	5447	97610
49	5566	97638
50	5683	97617
51	5819	97917
52	5933	97854
53	6050	97808
54	6187	98106
55	6313	98199
56	6432	98181
57	6555	98213
58	6665	98063
59	6770	97836
60	6886	97760
61	6981	97405
62	7086	97193
63	7188	96934
64	7280	96548
65	7371	96165
66	7461	95772
67	7546	95325
68	7648	95103
69	7730	94640
70	7820	94287
71	7930	94169
72	8042	94087
73	8128	93695
74	8225	93443
75	8324	93209
76	8431	93079
77	8552	93093
78	8665	93013
79	8760	92751
80	8835	92276
81	8943	92163
82	9039	91924
83	9142	91755
84	9245	91587
85	9348	91416
86	9432	91073
87	9508	90650
88	9594	90338
89	9679	90015
90	9782	89867
91	9884	89712
92	9985	89549
93	10084	89362
94	10201	89344
95	10294	89110
96	10371	88746
97	10455	88441
98	10535	88118
99	10637	87974
100	10731	87762
101	10826	87564
102	10921	87372
103	11001	87058
104	11084	86774
105	11189	86669
106	11293	86552
107	11402	86465
108	11504	86335
109	11598	86148
110	11682	85885
111	11778	85709
112	11861	85448
113	11951	85232
114	12053	85105
115	12156	84993
116	12239	84736
117	12325	84503
118	12409	84258
119	12494	84026
120	12590	83866
121	12691	83743
122	12788	83592
123	12882	83421
124	12954	83117
125	13038	82890
126	13124	82672
127	13219	82518
128	13319	82396
129	13394	82119
130	13514	82119
131	13614	81994
132	13700	81791
133	13792	81622
134	13914	81634
135	14039	81658
136	14150	81598
137	14251	81478
138	14371	81474
139	14493	81472
140	14628	81545
141	14758	81588
142	14876	81559
143	14999	81560
144	15118	81538
145	15266	81666
146	15399	81713
147	15577	81991
148	15711	82036
149	15869	82203
150	15984	82146
151	16109	82136
152	16273	82326
153	16389	82266
154	16549	82429
155	16718	82627
156	16860	82693
157	17003	82756
158	17148	82828
159	17266	82770
160	17403	82799
161	17546	82860
162	17693	82932
163	17835	82977
164	17981	83041
165	18145	83187
166	18290	83239
167	18451	83362
168	18597	83414
169	18738	83442
170	18878	83462
171	19033	83550
172	19188	83632
173	19355	83763
174	19515	83860
175	19658	83884
176	19791	83860
177	19932	83873
178	20087	83940
179	20245	84017
180	20406	84106
181	20541	84083
182	20719	84238
183	20910	84436
184	21086	84574
185	21287	84807
186	21422	84774
187	21542	84680
188	21671	84622
189	21822	84647
190	21958	84614
191	22087	84552
192	22209	84463
193	22365	84503
194	22497	84453
195	22651	84481
196	22828	84594
197	23008	84713
198	23154	84705
199	23297	84687
200	23465	84757
201	23613	84751
202	23753	84718
203	23915	84758
204	24075	84792
205	24207	84727
206	24372	84773
207	24561	84903
208	24742	84999
209	24869	84911
210	25027	84928
211	25145	84805
212	25274	84723
213	25419	84693
214	25550	84613
215	25734	84709
216	25887	84701
217	26021	84628
218	26139	84506
219	26245	84342
220	26335	84131
221	26443	83977
222	26540	83785
223	26608	83507
224	26704	83316
225	26798	83122
226	26887	82911
227	26986	82734
228	27069	82509
229	27149	82274
230	27259	82133
231	27338	81896
232	27430	81701
233	27529	81530
234	27613	81313
235	27698	81101
